BASMID,ALLGRADEX,EDCPUB,SCCHOICE,SPUBCHOIX,SCONSIDR,SCHLHRSWK,EINTNET,MOSTIMPT,INTNUM,SEENJOY,SEGRADES,SEABSNT,SEGRADEQ,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,HDHEALTH,CDOBMM,CDOBYY,CSEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1MTHSWRK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,CHLDNT,SEFUTUREX,DSBLTY,HHPARN19X,HHPARN19_BRD,NUMSIBSX,PARGRADEX,RACEETH,INTACC,CENREG,ZIPLOCL
20191020105,7,1,2,1,2,4,4,-1,-1,2,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1,2,1,1,1,3,2,1,2,1,4,3,1,1,1,1,1,2,2,2,1,1,1,7,2009,1,2,4,2,1,1,1,1,45,12,42,1,10,1,1,6,1,1,1,1,5,1,1,2,33
20191020115,7,1,2,3,2,4,4,-1,-1,1,5,1,2,1,1,1,1,1,1,2,2,6,1,1,1,1,1,1,1,3,5,1,1,1,4,3,1,1,1,1,1,1,1,7,1,1,1,9,2008,2,2,5,1,1,2,3,1,40,12,41,2,1,1,5,5,2,2,2,3,3,4,3,3,21
20191020129,13,1,1,1,1,4,4,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,1,1,1,1,1,4,8,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,7,2003,1,2,5,2,1,1,1,1,40,12,68,1,8,1,1,6,2,1,1,1,3,2,1,2,21
20191020169,6,1,1,1,2,4,4,-1,-1,1,5,1,2,1,2,1,1,1,1,2,2,4,1,1,1,1,1,1,1,4,2,1,1,1,4,4,1,2,1,1,1,1,2,7,2,2,2,5,2010,1,2,2,6,5,1,3,6,-1,3,57,2,2,1,2,3,2,4,2,0,3,1,3,3,32
20191020170,15,1,2,3,2,4,4,-1,-1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,2,2,4,1,1,2,1,5,1,2,2,2,2,1,2,0,2,2,2,7,2001,2,3,4,2,1,1,1,7,-1,3,48,2,3,2,3,6,2,3,2,1,2,3,1,2,11
20191020190,13,2,1,3,2,4,4,-1,-1,1,1,1,1,1,1,1,1,1,2,2,1,5,2,1,1,1,1,1,1,4,10,1,1,1,3,1,2,2,1,1,1,1,2,3,2,2,1,7,2002,1,2,4,1,1,2,3,1,40,12,55,2,8,1,1,5,2,2,2,2,4,3,1,2,11
20191020192,14,1,1,3,2,4,4,-1,-1,2,2,1,3,1,2,1,1,1,2,2,2,10,1,1,1,1,1,1,1,1,1,1,1,2,3,5,2,2,1,2,2,1,2,0,2,2,1,4,2002,1,2,2,1,1,2,3,3,-1,9,58,2,5,2,1,5,2,2,2,0,4,2,1,2,21
20191020193,7,1,1,1,2,4,4,-1,-1,1,1,1,1,1,2,1,2,1,1,2,2,8,1,1,1,1,1,1,1,6,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,2,5,2,2,1,3,2009,2,2,6,1,1,2,5,1,48,12,29,1,7,1,2,6,2,1,1,3,2,1,1,3,42
20191020210,12,1,1,2,2,4,4,-1,-1,2,3,1,2,1,2,1,2,2,1,2,1,3,2,1,2,3,2,2,2,4,18,2,2,1,3,5,1,1,1,1,1,1,1,7,1,2,1,1,2004,2,2,3,1,1,2,1,1,45,12,53,1,10,1,1,5,2,1,1,0,4,1,1,1,12
20191020251,5,1,2,3,2,4,4,-1,-1,1,2,1,3,1,2,2,2,2,2,2,2,1,1,1,4,4,4,4,4,4,7,2,2,1,3,4,1,1,1,1,1,1,1,2,2,2,5,6,2010,1,2,2,2,1,1,3,1,55,12,39,2,7,2,1,5,1,3,2,0,4,1,1,3,21
20191020266,13,1,2,2,2,4,4,-1,-1,3,2,1,3,1,2,1,2,2,2,2,2,20,1,1,2,2,2,2,2,4,10,2,2,1,4,1,2,2,2,2,1,1,2,7,2,2,2,4,2003,2,2,4,2,1,1,1,6,-1,1,54,1,12,1,1,5,2,1,1,1,4,2,1,1,21
20191020271,8,1,1,1,2,3,4,-1,-1,2,2,1,3,1,2,1,1,1,1,2,2,5,1,1,1,1,1,1,1,2,5,1,2,1,4,2,1,1,2,2,2,1,1,7,2,2,2,2,2008,1,2,3,1,1,2,3,1,40,12,32,2,5,2,5,4,2,2,2,1,3,1,4,3,21
20191020286,7,1,1,1,1,4,4,-1,-1,1,5,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,6,-1,-1,-1,-1,-1,-1,2,1,1,1,2,1,1,7,1,2,2,1,2009,2,2,4,1,1,2,1,1,20,12,46,1,12,1,4,6,2,1,1,1,5,4,1,4,12
20191020292,12,1,2,2,2,4,4,-1,-1,4,3,4,3,2,2,1,2,1,2,2,2,1,1,1,2,2,2,3,2,3,5,3,1,1,3,2,1,2,2,1,2,2,2,5,2,2,3,11,2003,1,2,4,1,1,2,3,7,-1,0,48,1,6,1,1,5,1,1,1,1,4,1,1,1,21
20191020305,11,1,2,3,2,4,4,-1,-1,1,2,1,2,1,1,1,1,1,1,2,2,18,1,1,1,1,1,1,1,4,10,1,1,1,4,2,1,2,2,2,1,1,2,3,2,2,2,10,2004,1,2,3,2,1,1,1,1,50,12,40,1,9,1,2,4,2,1,1,0,3,1,1,1,41
20191020313,13,2,1,2,1,4,4,-1,-1,2,1,1,1,1,2,1,2,1,2,2,2,9,1,1,1,1,1,1,1,4,20,1,2,1,2,2,2,2,1,1,1,2,1,6,2,1,1,1,2003,2,2,4,2,1,1,1,1,45,12,50,1,12,1,1,5,2,1,1,1,5,1,1,1,21
20191020320,2,1,2,1,2,4,4,-1,-1,1,5,1,2,1,2,1,1,1,1,2,1,6,1,1,1,1,1,1,1,4,5,1,1,1,4,4,1,1,1,1,1,1,1,7,1,1,1,3,2013,2,2,3,1,1,2,5,1,34,12,31,2,2,2,5,6,2,2,2,1,3,3,3,2,11
20191020325,4,2,1,2,2,4,4,-1,-1,2,1,2,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,4,5,1,1,1,4,4,1,1,2,1,1,1,2,7,2,1,1,1,2012,1,2,3,2,1,1,1,1,40,12,41,1,9,1,3,5,1,1,1,0,5,1,1,2,32
20191020334,5,1,1,2,1,4,3,10,1,2,1,1,2,1,1,1,2,1,2,2,2,4,1,1,2,2,2,2,1,4,3,1,1,1,2,2,2,1,1,1,1,1,1,7,1,2,3,11,2011,2,2,3,1,1,2,4,1,24,12,35,2,2,2,2,5,2,2,2,1,4,1,1,1,21
20191020335,9,1,1,1,2,4,3,6,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,4,5,1,1,1,3,1,1,2,1,1,1,1,1,7,1,2,1,4,2007,1,2,4,1,1,2,1,2,20,12,49,1,12,1,1,5,2,1,1,1,4,1,1,2,11
20191020342,10,1,1,2,2,4,4,-1,-1,2,3,1,3,1,2,1,1,1,1,2,1,6,1,1,2,2,2,3,2,2,2,3,2,1,4,2,1,1,1,2,1,1,1,6,1,1,3,6,2006,2,2,4,5,1,2,3,1,29,12,39,2,3,1,1,4,2,2,2,0,3,3,2,2,21
20191020347,12,1,1,1,2,2,4,-1,-1,1,1,1,2,1,1,1,1,1,1,2,1,6,2,1,1,1,2,1,1,3,2,1,1,1,4,2,1,2,2,2,1,1,1,4,1,2,1,5,2004,2,3,4,1,1,2,1,5,-1,0,43,1,6,1,1,6,2,1,1,1,4,3,1,4,21
20191020349,12,1,2,2,1,2,4,-1,-1,2,1,1,1,1,1,1,1,1,1,2,1,20,1,1,2,2,2,3,2,4,5,1,1,1,4,3,1,1,1,1,1,1,1,7,1,1,1,9,2003,2,6,4,2,1,1,1,1,60,12,46,1,7,1,2,5,2,1,1,1,4,5,1,2,21
20191020351,13,1,2,3,2,4,1,14,7,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,3,10,1,2,1,3,2,1,2,1,2,2,1,2,7,2,2,2,4,2003,2,2,3,1,1,2,5,3,-1,10,38,1,5,1,1,2,2,2,1,0,2,1,3,3,41
20191020385,9,1,1,3,2,2,4,-1,-1,2,2,1,2,1,1,1,1,1,1,1,2,5,2,1,1,1,1,1,1,4,12,1,2,1,3,1,1,2,1,2,1,2,1,3,1,1,1,8,2007,2,2,5,1,1,2,1,1,30,12,47,1,9,1,1,6,2,1,1,2,5,2,1,3,21
20191020389,12,1,1,1,1,4,4,-1,-1,2,2,1,3,1,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,2,3,3,1,1,4,1,1,2,2,1,1,1,2,2,2,2,1,9,2003,1,2,5,5,5,2,2,6,-1,0,74,1,10,1,1,5,2,3,1,1,5,1,1,4,23
20191020392,12,1,1,3,1,4,4,-1,-1,2,1,2,2,1,2,1,1,1,2,2,2,3,2,1,1,2,1,1,2,4,15,2,2,1,4,4,2,2,2,1,1,1,1,5,2,1,2,8,2004,2,2,6,2,1,1,1,1,50,12,45,1,9,1,1,6,2,1,1,1,3,3,1,1,21
20191020397,14,1,1,1,2,4,4,-1,-1,2,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1,1,3,5,1,1,1,3,5,2,2,2,1,1,1,1,4,2,2,1,1,2002,1,2,5,1,1,2,1,5,-1,0,37,1,4,1,2,5,2,1,1,2,3,1,1,3,11
20191020405,12,1,1,1,1,4,4,-1,-1,2,1,1,1,1,1,1,2,1,2,2,1,15,1,1,1,1,1,1,1,3,3,3,1,1,3,1,2,1,2,1,1,1,2,6,1,2,1,3,2004,1,2,4,1,1,2,1,1,40,10,43,1,10,1,1,5,2,1,1,1,5,1,1,4,31
